SnowToday Calculated SWE Summary Data : 2024-03-05
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Heen Latinee,58.7000,-134.8600,629.4,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Independence Mine,61.7900,-149.2800,1082.0,47.2,NaN,NaN,0.8,USAK,HUC19,NaN
Indian Pass,61.0700,-149.4800,716.3,52.6,105.0,82.0,0.0,USAK,HUC19,NaN
Jack Wade Jct,64.1500,-141.3300,1092.7,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Kantishna,63.5400,-150.9900,472.4,15.5,NaN,NaN,0.0,USAK,HUC19,NaN
Kelly Station,67.9300,-162.2800,94.5,6.1,NaN,NaN,0.0,USAK,HUC19,NaN
Kenai Moose Pens,60.7300,-150.4800,91.4,13.7,129.0,103.0,0.0,USAK,HUC19,NaN
Little Chena Ridge,65.1200,-146.7300,609.6,5.6,49.0,37.0,0.0,USAK,HUC19,NaN
Long Lake,58.1900,-133.8300,259.1,80.8,100.0,78.0,0.0,USAK,HUC19,NaN
May Creek,61.3500,-142.7100,490.7,18.8,NaN,NaN,0.0,USAK,HUC19,NaN
McGrath,62.9500,-155.6100,103.6,17.8,NaN,NaN,0.8,USAK,HUC19,NaN
Mcneil Canyon,59.7400,-151.2500,402.3,18.5,80.0,65.0,NaN,USAK,HUC19,NaN
Monahan Flat,63.3100,-147.6500,826.0,18.0,NaN,NaN,0.0,USAK,HUC19,NaN
Monument Creek,65.0800,-145.8700,563.9,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Moraine,61.3800,-149.0000,640.1,21.6,NaN,NaN,-0.8,USAK,HUC19,NaN
Mt. Alyeska,60.9600,-149.0900,469.4,68.8,102.0,78.0,0.0,USAK,HUC19,NaN
Mt. Eyak,60.5500,-145.7500,428.2,59.7,NaN,NaN,0.0,USAK,HUC19,NaN
Mt. Ryan,65.2500,-146.1500,853.4,12.7,96.0,74.0,0.0,USAK,HUC19,NaN
Munson Ridge,64.8500,-146.2100,944.9,17.5,99.0,73.0,0.0,USAK,HUC19,NaN
Port Graham,59.3500,-151.8500,91.4,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Summit Creek,60.6200,-149.5300,426.7,30.5,122.0,105.0,0.0,USAK,HUC19,NaN
Susitna Valley High,62.1300,-150.0400,114.3,23.1,120.0,94.0,0.0,USAK,HUC19,NaN
Telaquana Lake,60.9800,-153.9200,388.6,13.2,NaN,NaN,2.0,USAK,HUC19,NaN
Teuchet Creek,64.9500,-145.5200,499.9,12.4,140.0,100.0,0.0,USAK,HUC19,NaN
Tokositna Valley,62.6300,-150.7800,259.1,33.3,NaN,NaN,0.8,USAK,HUC19,NaN
Turnagain Pass,60.7800,-149.1800,573.0,68.6,98.0,65.0,0.0,USAK,HUC19,NaN
Upper Chena,65.1000,-144.9300,868.7,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Upper Nome Creek,65.3700,-146.5900,768.1,12.4,NaN,NaN,0.0,USAK,HUC19,NaN
Upper Tsaina River,61.1900,-145.6500,533.4,76.0,NaN,NaN,0.0,USAK,HUC19,NaN
Baker Butte,34.4600,-111.4100,2225.0,7.6,85.0,43.0,0.0,USAZ,HUC15,NaN
Baker Butte Smt,34.4600,-111.3800,2347.0,32.3,NaN,NaN,0.0,USAZ,HUC15,NaN
Baldy,33.9800,-109.5000,2781.3,NaN,NaN,NaN,NaN,USAZ,HUC15,NaN
Bar M,34.8600,-111.6100,1948.6,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Beaver Head,33.6900,-109.2200,2435.4,NaN,NaN,NaN,NaN,USAZ,HUC15,NaN
Beaver Spring,36.3300,-109.0600,2804.2,24.9,NaN,NaN,-0.5,USAZ,HUC14,NaN
Chalender,35.2600,-112.0600,2164.1,4.6,NaN,NaN,0.0,USAZ,HUC15,NaN
Coronado Trail,33.8000,-109.1500,2560.3,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Fort Valley,35.2700,-111.7400,2240.3,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Fry,35.0700,-111.8400,2194.6,17.3,110.0,82.0,0.0,USAZ,HUC15,NaN
Hannagan Meadows,33.6500,-109.3100,2749.3,22.9,98.0,77.0,-0.5,USAZ,HUC15,NaN
Happy Jack,34.7500,-111.4100,2325.6,15.5,NaN,NaN,0.0,USAZ,HUC15,NaN
Hawley Lake,33.9700,-109.7700,2529.8,32.5,NaN,NaN,0.5,USAZ,HUC15,NaN
Heber,34.3100,-110.7500,2328.7,6.1,75.0,36.0,-1.0,USAZ,HUC15,NaN
Maverick Fork,33.9200,-109.4600,2804.2,14.7,74.0,59.0,0.0,USAZ,HUC15,NaN
Mormon Mountain,34.9400,-111.5200,2286.0,8.6,78.0,44.0,-0.8,USAZ,HUC15,NaN
Mormon Mtn Summit,34.9700,-111.5100,2590.8,18.3,NaN,NaN,0.0,USAZ,HUC15,NaN
Nutrioso,33.9000,-109.1600,2590.8,NaN,NaN,NaN,NaN,USAZ,HUC15,NaN
Promontory,34.3700,-111.0100,2417.1,15.2,57.0,46.0,0.0,USAZ,HUC15,NaN
Snowslide Canyon,35.3400,-111.6500,2965.7,40.9,100.0,82.0,0.0,USAZ,HUC15,NaN
White Horse Lake,35.1400,-112.1500,2188.5,NaN,NaN,NaN,NaN,USAZ,HUC15,NaN
Wildcat,33.7600,-109.4800,2392.7,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Workman Creek,33.8100,-110.9200,2103.1,NaN,NaN,NaN,NaN,USAZ,HUC15,NaN
Adin Mtn,41.2400,-120.7900,1886.7,37.9,132.0,107.0,1.3,USCA,HUC18,NaN
Blue Lakes,38.6100,-119.9200,2458.8,72.1,117.0,87.0,1.0,USCA,HUC16,NaN
Burnside Lake,38.7200,-119.8900,2477.7,59.7,NaN,NaN,0.0,USCA,HUC16,NaN
Carson Pass,38.6900,-120.0000,2548.1,NaN,NaN,NaN,NaN,USCA,HUC18,NaN
Cedar Pass,41.5800,-120.3000,2142.7,45.0,122.0,90.0,0.8,USCA,HUC18,NaN
Crowder Flat,41.8900,-120.7500,1575.8,4.3,NaN,NaN,0.5,USCA,HUC18,NaN
Css Lab,39.3300,-120.3700,2101.3,94.0,129.0,100.0,1.3,USCA,HUC18,NaN
Dismal Swamp,41.9900,-120.1800,2243.3,77.7,123.0,98.0,1.8,USCA,HUC17,NaN
Ebbetts Pass,38.5500,-119.8000,2639.9,72.1,100.0,72.0,-1.0,USCA,HUC16,NaN
Echo Peak,38.8500,-120.0800,2332.6,88.4,100.0,81.0,-0.8,USCA,HUC16,NaN
Fallen Leaf,38.9300,-120.0500,1902.6,24.1,173.0,116.0,-0.8,USCA,HUC16,NaN
Forestdale Creek,38.6800,-119.9600,2443.6,85.6,NaN,NaN,-0.5,USCA,HUC16,NaN
Fredonyer Peak,40.6900,-120.6100,2197.0,24.1,NaN,NaN,-11.7,USCA,HUC18,NaN
Hagans Meadow,38.8500,-119.9400,2359.8,41.4,110.0,87.0,0.0,USCA,HUC16,NaN
Heavenly Valley,38.9200,-119.9200,2601.2,53.3,109.0,73.0,0.0,USCA,HUC16,NaN
Horse Meadow,38.8400,-119.8900,2608.2,52.6,NaN,NaN,0.5,USCA,HUC16,NaN
Independence Camp,39.4500,-120.2900,2127.5,55.6,144.0,109.0,0.8,USCA,HUC16,NaN
Independence Creek,39.4900,-120.2800,1961.7,29.2,101.0,78.0,0.0,USCA,HUC16,NaN
Independence Lake,39.4300,-120.3100,2541.4,92.7,103.0,79.0,1.0,USCA,HUC16,NaN
Leavitt Lake,38.2800,-119.6100,2927.3,129.8,116.0,82.0,1.3,USCA,HUC16,NaN
Leavitt Meadows,38.3000,-119.5500,2194.0,31.2,138.0,97.0,0.0,USCA,HUC16,NaN
Lobdell Lake,38.4400,-119.3700,2819.1,34.3,100.0,71.0,0.0,USCA,HUC16,NaN
Monitor Pass,38.6700,-119.6100,2531.7,35.8,101.0,80.0,0.0,USCA,HUC16,NaN
Poison Flat,38.5100,-119.6300,2357.9,43.2,108.0,84.0,0.0,USCA,HUC16,NaN
Rubicon #2,39.0000,-120.1300,2322.3,61.0,112.0,81.0,0.5,USCA,HUC16,NaN
Sonora Pass,38.3100,-119.6000,2673.1,52.8,103.0,74.0,0.0,USCA,HUC16,NaN
Spratt Creek,38.6700,-119.8200,1848.0,17.3,203.0,93.0,-0.5,USCA,HUC16,NaN
State Line,41.9900,-120.7200,1731.3,8.9,NaN,NaN,1.0,USCA,HUC18,NaN
Summit Meadow,38.4000,-119.5400,2838.6,42.9,NaN,NaN,-0.8,USCA,HUC16,NaN
Tahoe City Cross,39.1700,-120.1500,2071.7,42.7,157.0,109.0,0.0,USCA,HUC16,NaN
Truckee #2,39.3000,-120.1800,1983.9,45.0,130.0,96.0,0.0,USCA,HUC16,NaN
Virginia Lakes Ridge,38.0700,-119.2300,2865.1,35.3,105.0,69.0,0.0,USCA,HUC16,NaN
Ward Creek #3,39.1400,-120.2200,2055.9,88.4,114.0,93.0,1.8,USCA,HUC16,NaN
Apishapa,37.3300,-105.0700,3048.0,14.2,88.0,69.0,0.0,USCO,HUC11,NaN
Arapaho Ridge,40.3500,-106.3800,3340.6,46.0,NaN,NaN,1.8,USCO,HUC14,NaN
Bear Lake,40.3100,-105.6400,2895.6,37.6,110.0,71.0,0.5,USCO,HUC10,NaN
Bear River,40.0600,-107.0100,2767.6,24.4,NaN,NaN,0.8,USCO,HUC14,NaN
Beartown,37.7100,-107.5100,3535.7,38.9,85.0,60.0,0.0,USCO,HUC13,NaN
Beaver Ck Village,39.6000,-106.5100,2590.8,27.9,NaN,NaN,0.8,USCO,HUC14,NaN
Berthoud Summit,39.8000,-105.7800,3444.2,44.2,115.0,76.0,0.0,USCO,HUC14,NaN
Bison Lake,39.7600,-107.3600,3316.2,NaN,NaN,NaN,NaN,USCO,HUC14,NaN
Black Mesa,37.7900,-108.1800,3529.6,37.9,NaN,NaN,0.0,USCO,HUC14,NaN
Black Mountain,40.8900,-105.6600,2718.8,19.1,NaN,NaN,0.0,USCO,HUC10,NaN
Brumley,39.0900,-106.5400,3230.9,24.4,114.0,79.0,0.0,USCO,HUC11,NaN
Buckskin Joe,39.3000,-106.1100,3398.5,19.6,110.0,65.0,0.0,USCO,HUC10,NaN
Buffalo Park,40.2300,-106.6000,2816.4,30.7,99.0,83.0,1.3,USCO,HUC14,NaN
Burro Mountain,39.8800,-107.6000,2865.1,32.3,100.0,70.0,0.8,USCO,HUC14,NaN
Butte,38.8900,-106.9500,3096.8,34.8,123.0,87.0,0.0,USCO,HUC14,NaN
Cascade #2,37.6600,-107.8000,2718.8,21.6,90.0,71.0,0.0,USCO,HUC14,NaN
Cascade,37.6500,-107.8100,2706.6,NaN,NaN,NaN,NaN,USCO,HUC14,NaN
Chapman Tunnel,39.2600,-106.6300,3081.5,36.3,NaN,NaN,0.8,USCO,HUC14,NaN
Cochetopa Pass,38.1600,-106.6000,3054.1,10.4,NaN,NaN,0.0,USCO,HUC14,NaN
Columbine,40.3900,-106.6000,2792.0,59.4,115.0,91.0,2.0,USCO,HUC10,NaN
Columbine Pass,38.4200,-108.3800,2865.1,40.6,100.0,83.0,0.5,USCO,HUC14,NaN
Columbus Basin,37.4400,-108.0200,3287.3,41.9,89.0,64.0,0.0,USCO,HUC14,NaN
Copeland Lake,40.2100,-105.5700,2621.3,9.9,83.0,65.0,0.0,USCO,HUC10,NaN
Copper Mountain,39.4900,-106.1700,3215.6,30.5,101.0,72.0,0.8,USCO,HUC14,NaN
Crosho,40.1700,-107.0600,2773.7,33.0,127.0,102.0,1.5,USCO,HUC14,NaN
Culebra #2,37.2100,-105.2000,3200.4,24.9,92.0,69.0,0.0,USCO,HUC13,NaN
Cumbres Trestle,37.0200,-106.4500,3060.2,49.5,91.0,71.0,0.0,USCO,HUC13,NaN
Deadman Hill,40.8100,-105.7700,3115.1,36.1,104.0,66.0,1.3,USCO,HUC10,NaN
Dry Lake,40.5300,-106.7800,2560.3,59.4,123.0,100.0,2.0,USCO,HUC14,NaN
Echo Lake,39.6600,-105.5900,3230.9,11.2,95.0,47.0,0.0,USCO,HUC10,NaN
El Diente Peak,37.7900,-108.0200,3048.0,29.2,101.0,76.0,0.0,USCO,HUC14,NaN
Elk River,40.8500,-106.9700,2651.8,41.7,100.0,80.0,1.0,USCO,HUC14,NaN
Elkhead Divide,40.8000,-107.1000,2676.1,50.5,NaN,NaN,1.3,USCO,HUC14,NaN
Elliot Ridge,39.8600,-106.4200,3206.5,49.8,NaN,NaN,1.0,USCO,HUC14,NaN
Fool Creek,39.8700,-105.8700,3398.5,42.9,NaN,NaN,0.8,USCO,HUC14,NaN
Fremont Pass,39.3800,-106.2000,3474.7,32.0,104.0,62.0,0.0,USCO,HUC14,NaN
Glen Cove,38.8800,-105.0700,3493.0,12.4,NaN,NaN,0.0,USCO,HUC11,NaN
Grayback,37.4700,-106.5400,3541.8,5.8,NaN,NaN,-0.5,USCO,HUC13,NaN
Grizzly Peak,39.6500,-105.8700,3383.3,33.0,97.0,69.0,0.0,USCO,HUC14,NaN
Hayden Pass,38.2900,-105.8500,3267.5,22.6,NaN,NaN,0.0,USCO,HUC13,NaN
High Lonesome,40.0400,-105.7500,3237.0,47.8,NaN,NaN,1.0,USCO,HUC14,NaN
Hoosier Pass,39.3600,-106.0600,3474.7,33.0,115.0,76.0,0.0,USCO,HUC10,NaN
Hourglass Lake,40.5800,-105.6300,2859.0,22.1,NaN,NaN,1.3,USCO,HUC10,NaN
Idarado,37.9300,-107.6800,2987.0,22.9,81.0,62.0,0.0,USCO,HUC14,NaN
Independence Pass,39.0800,-106.6100,3230.9,NaN,NaN,NaN,NaN,USCO,HUC14,NaN
Ivanhoe,39.2900,-106.5500,3169.9,39.4,125.0,87.0,0.8,USCO,HUC14,NaN
Jackwhacker Gulch,39.5700,-105.8000,3340.6,23.6,99.0,69.0,0.0,USCO,HUC10,NaN
Joe Wright,40.5300,-105.8900,3084.6,38.9,91.0,58.0,2.0,USCO,HUC10,NaN
Jones Pass,39.7600,-105.9100,3169.9,32.8,109.0,76.0,0.0,USCO,HUC14,NaN
Kiln,39.3200,-106.6100,2926.1,30.5,121.0,95.0,0.8,USCO,HUC14,NaN
Lake Eldora,39.9400,-105.5900,2956.6,23.9,96.0,70.0,0.5,USCO,HUC10,NaN
Lake Irene,40.4100,-105.8200,3261.4,43.7,87.0,62.0,1.3,USCO,HUC14,NaN
Lily Pond,37.3800,-106.5500,3352.8,26.7,94.0,67.0,0.0,USCO,HUC13,NaN
Lizard Head Pass,37.8000,-107.9200,3109.0,30.7,96.0,75.0,0.0,USCO,HUC14,NaN
Lone Cone,37.8900,-108.2000,2926.1,31.5,87.0,72.0,0.0,USCO,HUC14,NaN
Long Draw Resv,40.5100,-105.7700,3041.9,36.3,NaN,NaN,1.3,USCO,HUC10,NaN
Lost Dog,40.8200,-106.7500,2840.7,50.3,100.0,78.0,1.5,USCO,HUC14,NaN
Loveland Basin,39.6700,-105.9000,3474.7,33.5,89.0,57.0,0.0,USCO,HUC10,NaN
Lynx Pass,40.0800,-106.6700,2706.6,26.7,108.0,87.0,0.8,USCO,HUC14,NaN
Mancos,37.4300,-108.1700,3048.0,32.5,94.0,77.0,0.5,USCO,HUC14,NaN
Mc Clure Pass,39.1300,-107.2900,2895.6,30.7,87.0,67.0,0.5,USCO,HUC14,NaN
Mccoy Park,39.6000,-106.5400,2889.5,35.8,NaN,NaN,0.5,USCO,HUC14,NaN
Medano Pass,37.8500,-105.4400,2941.0,8.6,65.0,49.0,0.0,USCO,HUC13,NaN
Mesa Lakes,39.0600,-108.0600,3048.0,32.5,98.0,67.0,0.0,USCO,HUC14,NaN
Michigan Creek,39.4400,-105.9100,3230.9,23.9,116.0,76.0,0.0,USCO,HUC10,NaN
Middle Creek,37.6200,-107.0300,3429.0,31.2,82.0,61.0,0.0,USCO,HUC13,NaN
Middle Fork Camp,39.8000,-106.0300,2724.9,29.0,NaN,NaN,0.5,USCO,HUC14,NaN
Mineral Creek,37.8500,-107.7300,3060.2,24.9,82.0,61.0,0.0,USCO,HUC14,NaN
Molas Lake,37.7500,-107.6900,3200.4,29.7,77.0,57.0,0.0,USCO,HUC14,NaN
Moon Pass,37.9700,-106.5600,3395.5,11.7,NaN,NaN,0.0,USCO,HUC13,NaN
Nast Lake,39.3000,-106.6100,2651.8,28.4,151.0,122.0,0.8,USCO,HUC14,NaN
Never Summer,40.4000,-105.9600,3133.3,37.9,NaN,NaN,1.3,USCO,HUC10,NaN
Niwot,40.0400,-105.5400,3020.6,23.6,97.0,64.0,0.0,USCO,HUC10,NaN
North Lost Trail,39.0800,-107.1400,2804.2,37.6,106.0,82.0,1.0,USCO,HUC14,NaN
Overland Res.,39.0900,-107.6300,2999.2,21.6,82.0,64.0,0.5,USCO,HUC14,NaN
Park Cone,38.8200,-106.5900,2926.1,26.4,122.0,95.0,0.0,USCO,HUC14,NaN
Park Reservoir,39.0500,-107.8700,3035.8,41.9,80.0,54.0,0.0,USCO,HUC14,NaN
Phantom Valley,40.4000,-105.8500,2752.3,20.1,95.0,74.0,0.8,USCO,HUC14,NaN
Porphyry Creek,38.4900,-106.3400,3279.6,38.6,118.0,87.0,0.0,USCO,HUC14,NaN
Rabbit Ears,40.3700,-106.7400,2865.1,62.5,124.0,88.0,2.0,USCO,HUC14,NaN
Rawah,40.7100,-106.0100,2749.3,24.4,NaN,NaN,1.0,USCO,HUC10,NaN
Red Mountain Pass,37.8900,-107.7100,3413.8,41.4,91.0,61.0,0.0,USCO,HUC14,NaN
Ripple Creek,40.1100,-107.2900,3151.6,56.1,106.0,79.0,2.0,USCO,HUC14,NaN
Roach,40.8800,-106.0500,2956.6,26.2,82.0,55.0,0.8,USCO,HUC10,NaN
Rough And Tumble,39.0300,-106.0800,3157.7,10.4,98.0,54.0,0.0,USCO,HUC10,NaN
Saint Elmo,38.7000,-106.3700,3212.6,23.4,NaN,NaN,0.0,USCO,HUC11,NaN
Sargents Mesa,38.2900,-106.3700,3514.3,20.6,NaN,NaN,0.0,USCO,HUC13,NaN
Sawtooth,40.1400,-105.5900,2932.2,45.2,NaN,NaN,0.8,USCO,HUC10,NaN
Schofield Pass,39.0200,-107.0500,3261.4,64.3,100.0,68.0,1.8,USCO,HUC14,NaN
Scotch Creek,37.6500,-108.0100,2773.7,27.4,103.0,87.0,0.5,USCO,HUC14,NaN
Sharkstooth,37.5000,-108.1100,3267.5,36.8,NaN,NaN,0.0,USCO,HUC14,NaN
Slumgullion,37.9900,-107.2000,3523.5,23.6,87.0,63.0,0.0,USCO,HUC14,NaN
South Colony,37.9700,-105.5400,3291.8,29.7,82.0,58.0,0.0,USCO,HUC11,NaN
Spud Mountain,37.7000,-107.7800,3249.2,44.5,87.0,68.0,0.0,USCO,HUC14,NaN
Stillwater Creek,40.2300,-105.9200,2657.9,17.8,100.0,81.0,0.5,USCO,HUC14,NaN
Stump Lakes,37.4800,-107.6300,3413.8,37.1,104.0,74.0,0.0,USCO,HUC14,NaN
Summit Ranch,39.7200,-106.1600,2865.1,26.2,114.0,85.0,0.5,USCO,HUC14,NaN
Tower,40.5400,-106.6800,3200.4,89.9,95.0,70.0,3.0,USCO,HUC14,NaN
Trapper Lake,40.0000,-107.2400,2956.6,18.8,57.0,40.0,0.8,USCO,HUC14,NaN
Trinchera,37.3500,-105.2300,3310.1,17.3,84.0,62.0,0.0,USCO,HUC13,NaN
University Camp,40.0300,-105.5800,3139.4,28.2,89.0,54.0,0.0,USCO,HUC10,NaN
Upper Rio Grande,37.7200,-107.2600,2865.1,16.5,107.0,91.0,0.0,USCO,HUC13,NaN
Upper San Juan,37.4900,-106.8400,3109.0,51.0,81.0,61.0,0.0,USCO,HUC14,NaN
Upper Taylor,38.9900,-106.7500,3243.1,33.0,NaN,NaN,0.0,USCO,HUC14,NaN
Ute Creek,37.6100,-105.3700,3246.1,16.0,NaN,NaN,0.0,USCO,HUC13,NaN
Vail Mountain,39.6200,-106.3800,3139.4,43.7,115.0,73.0,0.5,USCO,HUC14,NaN
Vallecito,37.4900,-107.5100,3316.2,31.8,97.0,71.0,0.0,USCO,HUC14,NaN
Wager Gulch,37.8800,-107.3600,3383.3,18.0,NaN,NaN,0.0,USCO,HUC14,NaN
Weminuche Creek,37.5200,-107.3200,3273.6,36.8,NaN,NaN,0.0,USCO,HUC14,NaN
Whiskey Ck,37.2100,-105.1200,3115.1,16.8,74.0,57.0,0.0,USCO,HUC11,NaN
Wild Basin,40.2000,-105.6000,2913.9,28.7,NaN,NaN,0.5,USCO,HUC10,NaN
Willow Creek Pass,40.3500,-106.0900,2907.8,29.2,113.0,72.0,0.8,USCO,HUC14,NaN
Willow Park,40.4300,-105.7300,3261.4,34.0,99.0,63.0,1.3,USCO,HUC10,NaN
Wolf Creek Summit,37.4800,-106.8000,3352.8,56.6,88.0,67.0,0.0,USCO,HUC13,NaN
Zirkel,40.7900,-106.6000,2846.8,57.7,NaN,NaN,1.5,USCO,HUC10,NaN
Atlanta Summit,43.7600,-115.2400,2310.4,58.4,98.0,77.0,1.0,USID,HUC17,NaN
Banner Summit,44.3000,-115.2300,2145.8,45.7,87.0,68.0,1.0,USID,HUC17,NaN
Bear Basin,44.9500,-116.1400,1630.7,30.5,83.0,67.0,0.8,USID,HUC17,NaN
Bear Canyon,43.7400,-113.9400,2407.9,31.5,110.0,78.0,0.5,USID,HUC17,NaN
Bear Mountain,48.3100,-116.0700,1645.9,96.8,90.0,66.0,3.5,USID,HUC17,NaN
Bear Saddle,44.6100,-116.9800,1883.7,43.7,84.0,73.0,1.0,USID,HUC17,NaN
Big Creek Summit,44.6300,-115.8000,1999.5,57.9,89.0,69.0,0.8,USID,HUC17,NaN
Bogus Basin,43.7600,-116.1000,1932.4,61.2,120.0,100.0,1.3,USID,HUC17,NaN
Bostetter R.S.,42.1600,-114.1900,2286.0,49.8,136.0,104.0,0.5,USID,HUC17,NaN
Brundage Reservoir,45.0400,-116.1300,1905.0,51.0,85.0,69.0,0.8,USID,HUC17,NaN
Camas Creek Divide,43.2700,-115.3500,1740.4,37.1,124.0,120.0,0.8,USID,HUC17,NaN
Chocolate Gulch,43.7700,-114.4200,1923.3,25.1,96.0,80.0,0.0,USID,HUC17,NaN
Cool Creek,46.7600,-115.3000,1914.1,64.3,69.0,52.0,1.0,USID,HUC17,NaN
Cozy Cove,44.2900,-115.6600,1645.9,27.7,87.0,73.0,0.5,USID,HUC17,NaN
Crab Creek,44.4400,-111.9900,2103.1,23.6,86.0,64.0,0.0,USID,HUC17,NaN
Crater Meadows,46.5600,-115.2900,1816.6,71.9,75.0,59.0,1.0,USID,HUC17,NaN
Deadwood Summit,44.5500,-115.5600,2090.9,68.1,83.0,61.0,1.0,USID,HUC17,NaN
Dollarhide Summit,43.6000,-114.6700,2566.4,54.9,111.0,81.0,1.0,USID,HUC17,NaN
Elk Butte,46.8400,-116.1200,1734.3,47.5,63.0,50.0,0.5,USID,HUC17,NaN
Emigrant Summit,42.3600,-111.5600,2252.5,57.7,119.0,92.0,0.0,USID,HUC16,NaN
Franklin Basin,42.0500,-111.6000,2481.1,67.3,124.0,88.0,0.5,USID,HUC16,NaN
Galena,43.8800,-114.6700,2276.9,31.8,94.0,73.0,0.5,USID,HUC17,NaN
Galena Summit,43.8700,-114.7100,2676.1,39.6,97.0,72.0,0.5,USID,HUC17,NaN
Garfield R.S.,43.6100,-113.9300,1999.5,23.9,113.0,92.0,0.5,USID,HUC17,NaN
Giveout,42.4100,-111.1700,2112.3,23.9,108.0,91.0,0.5,USID,HUC16,NaN
Graham Guard Sta.,43.9500,-115.2700,1734.3,33.0,103.0,95.0,0.0,USID,HUC17,NaN
Hemlock Butte,46.4800,-115.6300,1770.9,71.9,73.0,60.0,1.5,USID,HUC17,NaN
Hidden Lake,48.8900,-116.7600,1536.2,67.6,NaN,NaN,1.8,USID,HUC17,NaN
Hilts Creek,44.0200,-113.4700,2438.4,29.2,108.0,83.0,0.0,USID,HUC17,NaN
Howell Canyon,42.3200,-113.6200,2432.3,77.7,133.0,110.0,0.8,USID,HUC17,NaN
Humboldt Gulch,47.5300,-115.7800,1295.4,30.5,106.0,92.0,0.5,USID,HUC17,NaN
Hyndman,43.7100,-114.1600,2322.6,25.4,106.0,79.0,0.0,USID,HUC17,NaN
Island Park,44.4200,-111.3900,1917.2,29.7,92.0,75.0,0.8,USID,HUC17,NaN
Jackson Peak,44.0500,-115.4400,2154.9,50.5,90.0,69.0,1.0,USID,HUC17,NaN
Lolo Pass,46.6300,-114.5800,1597.2,41.7,70.0,59.0,0.8,USID,HUC17,NaN
Long Valley,44.7900,-116.0900,1490.5,15.2,NaN,NaN,0.5,USID,HUC17,NaN
Lookout,47.4600,-115.7000,1581.9,32.5,53.0,46.0,0.8,USID,HUC17,NaN
Lost Lake,47.0800,-115.9600,1862.3,76.2,69.0,54.0,1.3,USID,HUC17,NaN
Lost-Wood Divide,43.8200,-114.2600,2407.9,35.0,93.0,64.0,0.5,USID,HUC17,NaN
Magic Mountain,42.1800,-114.2900,2097.0,56.6,131.0,112.0,0.5,USID,HUC17,NaN
