SnowToday Calculated SWE Summary Data : 2023-09-20
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Css Lab,39.3300,-120.3700,2101.3,0.0,NaN,0.0,USCA,HUC18,N/A
Dismal Swamp,41.9900,-120.1800,2243.3,NaN,NaN,NaN,USCA,HUC17,N/A
Ebbetts Pass,38.5500,-119.8000,2639.9,0.0,NaN,0.0,USCA,HUC16,N/A
Echo Peak,38.8500,-120.0800,2332.6,0.0,NaN,0.0,USCA,HUC16,N/A
Fallen Leaf,38.9300,-120.0500,1902.6,0.0,NaN,0.0,USCA,HUC16,N/A
Forestdale Creek,38.6800,-119.9600,2443.6,0.0,NaN,0.0,USCA,HUC16,N/A
Fredonyer Peak,40.6900,-120.6100,2197.0,0.0,NaN,0.0,USCA,HUC18,N/A
Hagans Meadow,38.8500,-119.9400,2359.8,0.0,NaN,0.0,USCA,HUC16,N/A
Heavenly Valley,38.9200,-119.9200,2601.2,0.0,NaN,0.0,USCA,HUC16,N/A
Horse Meadow,38.8400,-119.8900,2608.2,0.0,NaN,0.0,USCA,HUC16,N/A
Independence Camp,39.4500,-120.2900,2127.5,0.0,NaN,0.0,USCA,HUC16,N/A
Independence Creek,39.4900,-120.2800,1961.7,0.0,NaN,0.0,USCA,HUC16,N/A
Independence Lake,39.4300,-120.3100,2541.4,0.0,NaN,0.0,USCA,HUC16,N/A
Leavitt Lake,38.2800,-119.6100,2927.3,0.0,NaN,0.0,USCA,HUC16,N/A
Leavitt Meadows,38.3000,-119.5500,2194.0,0.0,NaN,0.0,USCA,HUC16,N/A
Lobdell Lake,38.4400,-119.3700,2819.1,0.0,NaN,0.0,USCA,HUC16,N/A
Monitor Pass,38.6700,-119.6100,2531.7,0.0,NaN,0.0,USCA,HUC16,N/A
Poison Flat,38.5100,-119.6300,2357.9,0.0,NaN,0.0,USCA,HUC16,N/A
Rubicon #2,39.0000,-120.1300,2322.3,0.0,NaN,0.0,USCA,HUC16,N/A
Sonora Pass,38.3100,-119.6000,2673.1,0.0,NaN,0.0,USCA,HUC16,N/A
Spratt Creek,38.6700,-119.8200,1848.0,0.0,NaN,0.0,USCA,HUC16,N/A
State Line,41.9900,-120.7200,1731.3,0.0,NaN,0.0,USCA,HUC18,N/A
Summit Meadow,38.4000,-119.5400,2838.6,0.0,NaN,0.0,USCA,HUC16,N/A
Tahoe City Cross,39.1700,-120.1500,2071.7,0.0,NaN,0.0,USCA,HUC16,N/A
Truckee #2,39.3000,-120.1800,1983.9,0.0,NaN,0.0,USCA,HUC16,N/A
Virginia Lakes Ridge,38.0700,-119.2300,2865.1,0.0,NaN,0.0,USCA,HUC16,N/A
Ward Creek #3,39.1400,-120.2200,2055.9,0.0,NaN,0.0,USCA,HUC16,N/A
Apishapa,37.3300,-105.0700,3048.0,0.0,NaN,0.0,USCO,HUC11,N/A
Arapaho Ridge,40.3500,-106.3800,3340.6,0.0,NaN,0.0,USCO,HUC14,N/A
Bear Lake,40.3100,-105.6400,2895.6,0.0,NaN,0.0,USCO,HUC10,N/A
Bear River,40.0600,-107.0100,2767.6,0.0,NaN,0.0,USCO,HUC14,N/A
Beartown,37.7100,-107.5100,3535.7,0.0,NaN,0.0,USCO,HUC13,N/A
Beaver Ck Village,39.6000,-106.5100,2590.8,0.0,NaN,0.0,USCO,HUC14,N/A
Berthoud Summit,39.8000,-105.7800,3444.2,0.0,NaN,0.0,USCO,HUC14,N/A
Bison Lake,39.7600,-107.3600,3316.2,0.0,NaN,0.0,USCO,HUC14,N/A
Black Mesa,37.7900,-108.1800,3529.6,NaN,NaN,NaN,USCO,HUC14,N/A
Black Mountain,40.8900,-105.6600,2718.8,0.0,NaN,0.0,USCO,HUC10,N/A
Brumley,39.0900,-106.5400,3230.9,0.0,NaN,0.0,USCO,HUC11,N/A
Buckskin Joe,39.3000,-106.1100,3398.5,0.0,NaN,0.0,USCO,HUC10,N/A
Buffalo Park,40.2300,-106.6000,2816.4,NaN,NaN,NaN,USCO,HUC14,N/A
Burro Mountain,39.8800,-107.6000,2865.1,0.0,NaN,0.0,USCO,HUC14,N/A
Butte,38.8900,-106.9500,3096.8,0.0,NaN,0.0,USCO,HUC14,N/A
Cascade #2,37.6600,-107.8000,2718.8,0.0,NaN,0.0,USCO,HUC14,N/A
Cascade,37.6500,-107.8100,2706.6,NaN,NaN,NaN,USCO,HUC14,N/A
Chapman Tunnel,39.2600,-106.6300,3081.5,NaN,NaN,NaN,USCO,HUC14,N/A
Cochetopa Pass,38.1600,-106.6000,3054.1,NaN,NaN,NaN,USCO,HUC14,N/A
Columbine,40.3900,-106.6000,2792.0,NaN,NaN,NaN,USCO,HUC10,N/A
Columbine Pass,38.4200,-108.3800,2865.1,0.0,NaN,0.0,USCO,HUC14,N/A
Columbus Basin,37.4400,-108.0200,3287.3,0.0,NaN,0.0,USCO,HUC14,N/A
Copeland Lake,40.2100,-105.5700,2621.3,0.0,NaN,0.0,USCO,HUC10,N/A
Copper Mountain,39.4900,-106.1700,3215.6,0.0,NaN,0.0,USCO,HUC14,N/A
Crosho,40.1700,-107.0600,2773.7,0.0,NaN,NaN,USCO,HUC14,N/A
Culebra #2,37.2100,-105.2000,3200.4,0.0,NaN,0.0,USCO,HUC13,N/A
Cumbres Trestle,37.0200,-106.4500,3060.2,NaN,NaN,NaN,USCO,HUC13,N/A
Deadman Hill,40.8100,-105.7700,3115.1,0.0,NaN,0.0,USCO,HUC10,N/A
Dry Lake,40.5300,-106.7800,2560.3,0.0,NaN,0.0,USCO,HUC14,N/A
Echo Lake,39.6600,-105.5900,3230.9,0.0,NaN,0.0,USCO,HUC10,N/A
El Diente Peak,37.7900,-108.0200,3048.0,NaN,NaN,NaN,USCO,HUC14,N/A
Elk River,40.8500,-106.9700,2651.8,0.0,NaN,0.0,USCO,HUC14,N/A
Elkhead Divide,40.8000,-107.1000,2676.1,0.0,NaN,0.0,USCO,HUC14,N/A
Elliot Ridge,39.8600,-106.4200,3206.5,0.0,NaN,0.0,USCO,HUC14,N/A
Fool Creek,39.8700,-105.8700,3398.5,NaN,NaN,NaN,USCO,HUC14,N/A
Fremont Pass,39.3800,-106.2000,3474.7,NaN,NaN,NaN,USCO,HUC14,N/A
Glen Cove,38.8800,-105.0700,3493.0,0.0,NaN,0.0,USCO,HUC11,N/A
Grayback,37.4700,-106.5400,3541.8,NaN,NaN,NaN,USCO,HUC13,N/A
Grizzly Peak,39.6500,-105.8700,3383.3,0.0,NaN,0.0,USCO,HUC14,N/A
Hayden Pass,38.2900,-105.8500,3267.5,0.0,NaN,0.0,USCO,HUC13,N/A
High Lonesome,40.0400,-105.7500,3237.0,0.0,NaN,0.0,USCO,HUC14,N/A
Hoosier Pass,39.3600,-106.0600,3474.7,NaN,NaN,NaN,USCO,HUC10,N/A
Hourglass Lake,40.5800,-105.6300,2859.0,0.0,NaN,0.0,USCO,HUC10,N/A
Idarado,37.9300,-107.6800,2987.0,0.0,NaN,0.0,USCO,HUC14,N/A
Independence Pass,39.0800,-106.6100,3230.9,0.0,NaN,0.0,USCO,HUC14,N/A
Ivanhoe,39.2900,-106.5500,3169.9,0.0,NaN,0.0,USCO,HUC14,N/A
Jackwhacker Gulch,39.5700,-105.8000,3340.6,0.0,NaN,0.0,USCO,HUC10,N/A
Joe Wright,40.5300,-105.8900,3084.6,0.0,NaN,0.0,USCO,HUC10,N/A
Jones Pass,39.7600,-105.9100,3169.9,NaN,NaN,NaN,USCO,HUC14,N/A
Kiln,39.3200,-106.6100,2926.1,0.0,NaN,0.0,USCO,HUC14,N/A
Lake Eldora,39.9400,-105.5900,2956.6,0.0,NaN,0.0,USCO,HUC10,N/A
Lake Irene,40.4100,-105.8200,3261.4,0.0,NaN,0.0,USCO,HUC14,N/A
Lily Pond,37.3800,-106.5500,3352.8,0.0,NaN,0.0,USCO,HUC13,N/A
Lizard Head Pass,37.8000,-107.9200,3109.0,0.0,NaN,0.0,USCO,HUC14,N/A
Lone Cone,37.8900,-108.2000,2926.1,NaN,NaN,NaN,USCO,HUC14,N/A
Long Draw Resv,40.5100,-105.7700,3041.9,0.0,NaN,0.0,USCO,HUC10,N/A
Lost Dog,40.8200,-106.7500,2840.7,0.0,NaN,0.0,USCO,HUC14,N/A
Loveland Basin,39.6700,-105.9000,3474.7,0.0,NaN,0.0,USCO,HUC10,N/A
Lynx Pass,40.0800,-106.6700,2706.6,0.0,NaN,0.0,USCO,HUC14,N/A
Mancos,37.4300,-108.1700,3048.0,0.0,NaN,0.0,USCO,HUC14,N/A
Mc Clure Pass,39.1300,-107.2900,2895.6,0.0,NaN,0.0,USCO,HUC14,N/A
Mccoy Park,39.6000,-106.5400,2889.5,0.0,NaN,0.0,USCO,HUC14,N/A
Medano Pass,37.8500,-105.4400,2941.0,0.0,NaN,0.0,USCO,HUC13,N/A
Mesa Lakes,39.0600,-108.0600,3048.0,0.0,NaN,0.0,USCO,HUC14,N/A
Michigan Creek,39.4400,-105.9100,3230.9,0.0,NaN,0.0,USCO,HUC10,N/A
Middle Creek,37.6200,-107.0300,3429.0,0.0,NaN,0.0,USCO,HUC13,N/A
Middle Fork Camp,39.8000,-106.0300,2724.9,NaN,NaN,NaN,USCO,HUC14,N/A
Mineral Creek,37.8500,-107.7300,3060.2,0.0,NaN,0.0,USCO,HUC14,N/A
Molas Lake,37.7500,-107.6900,3200.4,0.0,NaN,0.0,USCO,HUC14,N/A
Moon Pass,37.9700,-106.5600,3395.5,0.0,NaN,0.0,USCO,HUC13,N/A
Nast Lake,39.3000,-106.6100,2651.8,0.0,NaN,0.0,USCO,HUC14,N/A
Never Summer,40.4000,-105.9600,3133.3,0.0,NaN,0.0,USCO,HUC10,N/A
Niwot,40.0400,-105.5400,3020.6,0.0,NaN,0.0,USCO,HUC10,N/A
North Lost Trail,39.0800,-107.1400,2804.2,0.0,NaN,0.0,USCO,HUC14,N/A
Overland Res.,39.0900,-107.6300,2999.2,0.0,NaN,0.0,USCO,HUC14,N/A
Park Cone,38.8200,-106.5900,2926.1,0.0,NaN,0.0,USCO,HUC14,N/A
Park Reservoir,39.0500,-107.8700,3035.8,NaN,NaN,NaN,USCO,HUC14,N/A
Phantom Valley,40.4000,-105.8500,2752.3,0.0,NaN,0.0,USCO,HUC14,N/A
Porphyry Creek,38.4900,-106.3400,3279.6,0.0,NaN,0.0,USCO,HUC14,N/A
Rabbit Ears,40.3700,-106.7400,2865.1,0.0,NaN,0.0,USCO,HUC14,N/A
Rawah,40.7100,-106.0100,2749.3,0.0,NaN,NaN,USCO,HUC10,N/A
Red Mountain Pass,37.8900,-107.7100,3413.8,NaN,NaN,NaN,USCO,HUC14,N/A
Ripple Creek,40.1100,-107.2900,3151.6,NaN,NaN,NaN,USCO,HUC14,N/A
Roach,40.8800,-106.0500,2956.6,0.0,NaN,0.0,USCO,HUC10,N/A
Rough And Tumble,39.0300,-106.0800,3157.7,NaN,NaN,NaN,USCO,HUC10,N/A
Saint Elmo,38.7000,-106.3700,3212.6,NaN,NaN,NaN,USCO,HUC11,N/A
Sargents Mesa,38.2900,-106.3700,3514.3,0.0,NaN,0.0,USCO,HUC13,N/A
Sawtooth,40.1400,-105.5900,2932.2,0.0,NaN,0.0,USCO,HUC10,N/A
Schofield Pass,39.0200,-107.0500,3261.4,0.0,NaN,0.0,USCO,HUC14,N/A
Scotch Creek,37.6500,-108.0100,2773.7,0.0,NaN,0.0,USCO,HUC14,N/A
Sharkstooth,37.5000,-108.1100,3267.5,NaN,NaN,NaN,USCO,HUC14,N/A
Slumgullion,37.9900,-107.2000,3523.5,0.0,NaN,0.0,USCO,HUC14,N/A
South Colony,37.9700,-105.5400,3291.8,0.0,NaN,0.0,USCO,HUC11,N/A
Spud Mountain,37.7000,-107.7800,3249.2,NaN,NaN,NaN,USCO,HUC14,N/A
Stillwater Creek,40.2300,-105.9200,2657.9,NaN,NaN,NaN,USCO,HUC14,N/A
Stump Lakes,37.4800,-107.6300,3413.8,NaN,NaN,NaN,USCO,HUC14,N/A
Summit Ranch,39.7200,-106.1600,2865.1,0.0,NaN,0.0,USCO,HUC14,N/A
Tower,40.5400,-106.6800,3200.4,0.0,NaN,0.0,USCO,HUC14,N/A
Trapper Lake,40.0000,-107.2400,2956.6,0.0,NaN,0.0,USCO,HUC14,N/A
Trinchera,37.3500,-105.2300,3310.1,0.0,NaN,0.0,USCO,HUC13,N/A
University Camp,40.0300,-105.5800,3139.4,0.0,NaN,0.0,USCO,HUC10,N/A
Upper Rio Grande,37.7200,-107.2600,2865.1,0.0,NaN,0.0,USCO,HUC13,N/A
Upper San Juan,37.4900,-106.8400,3109.0,0.0,NaN,0.0,USCO,HUC14,N/A
Upper Taylor,38.9900,-106.7500,3243.1,NaN,NaN,NaN,USCO,HUC14,N/A
Ute Creek,37.6100,-105.3700,3246.1,NaN,NaN,NaN,USCO,HUC13,N/A
Vail Mountain,39.6200,-106.3800,3139.4,0.0,NaN,0.0,USCO,HUC14,N/A
Vallecito,37.4900,-107.5100,3316.2,NaN,NaN,NaN,USCO,HUC14,N/A
Wager Gulch,37.8800,-107.3600,3383.3,0.0,NaN,0.0,USCO,HUC14,N/A
Weminuche Creek,37.5200,-107.3200,3273.6,0.0,NaN,0.0,USCO,HUC14,N/A
Whiskey Ck,37.2100,-105.1200,3115.1,0.0,NaN,0.0,USCO,HUC11,N/A
Wild Basin,40.2000,-105.6000,2913.9,NaN,NaN,NaN,USCO,HUC10,N/A
Willow Creek Pass,40.3500,-106.0900,2907.8,0.0,NaN,0.0,USCO,HUC14,N/A
Willow Park,40.4300,-105.7300,3261.4,0.0,NaN,0.0,USCO,HUC10,N/A
Wolf Creek Summit,37.4800,-106.8000,3352.8,0.0,NaN,0.0,USCO,HUC13,N/A
Zirkel,40.7900,-106.6000,2846.8,0.0,NaN,0.0,USCO,HUC10,N/A
Atlanta Summit,43.7600,-115.2400,2310.4,0.0,NaN,0.0,USID,HUC17,N/A
Banner Summit,44.3000,-115.2300,2145.8,NaN,NaN,NaN,USID,HUC17,N/A
Bear Basin,44.9500,-116.1400,1630.7,NaN,NaN,NaN,USID,HUC17,N/A
Bear Canyon,43.7400,-113.9400,2407.9,NaN,NaN,NaN,USID,HUC17,N/A
Bear Mountain,48.3100,-116.0700,1645.9,0.0,NaN,0.0,USID,HUC17,N/A
Bear Saddle,44.6100,-116.9800,1883.7,0.0,NaN,0.0,USID,HUC17,N/A
Big Creek Summit,44.6300,-115.8000,1999.5,NaN,NaN,NaN,USID,HUC17,N/A
Bogus Basin,43.7600,-116.1000,1932.4,NaN,NaN,NaN,USID,HUC17,N/A
Bostetter R.S.,42.1600,-114.1900,2286.0,0.0,NaN,0.0,USID,HUC17,N/A
Brundage Reservoir,45.0400,-116.1300,1905.0,0.0,NaN,0.0,USID,HUC17,N/A
Camas Creek Divide,43.2700,-115.3500,1740.4,NaN,NaN,NaN,USID,HUC17,N/A
Chocolate Gulch,43.7700,-114.4200,1923.3,0.0,NaN,0.0,USID,HUC17,N/A
Cool Creek,46.7600,-115.3000,1914.1,0.0,NaN,0.0,USID,HUC17,N/A
Cozy Cove,44.2900,-115.6600,1645.9,NaN,NaN,NaN,USID,HUC17,N/A
Crab Creek,44.4400,-111.9900,2103.1,NaN,NaN,NaN,USID,HUC17,N/A
Crater Meadows,46.5600,-115.2900,1816.6,NaN,NaN,NaN,USID,HUC17,N/A
Deadwood Summit,44.5500,-115.5600,2090.9,NaN,NaN,NaN,USID,HUC17,N/A
Dollarhide Summit,43.6000,-114.6700,2566.4,0.0,NaN,0.0,USID,HUC17,N/A
Elk Butte,46.8400,-116.1200,1734.3,NaN,NaN,NaN,USID,HUC17,N/A
Emigrant Summit,42.3600,-111.5600,2252.5,NaN,NaN,NaN,USID,HUC16,N/A
Franklin Basin,42.0500,-111.6000,2481.1,0.0,NaN,0.0,USID,HUC16,N/A
Galena,43.8800,-114.6700,2276.9,0.0,NaN,0.0,USID,HUC17,N/A
Galena Summit,43.8700,-114.7100,2676.1,0.0,NaN,0.0,USID,HUC17,N/A
Garfield R.S.,43.6100,-113.9300,1999.5,NaN,NaN,NaN,USID,HUC17,N/A
Giveout,42.4100,-111.1700,2112.3,NaN,NaN,NaN,USID,HUC16,N/A
Graham Guard Sta.,43.9500,-115.2700,1734.3,NaN,NaN,NaN,USID,HUC17,N/A
Hemlock Butte,46.4800,-115.6300,1770.9,NaN,NaN,NaN,USID,HUC17,N/A
Hidden Lake,48.8900,-116.7600,1536.2,NaN,NaN,NaN,USID,HUC17,N/A
Hilts Creek,44.0200,-113.4700,2438.4,1.4,NaN,1.4,USID,HUC17,N/A
Howell Canyon,42.3200,-113.6200,2432.3,NaN,NaN,NaN,USID,HUC17,N/A
Humboldt Gulch,47.5300,-115.7800,1295.4,NaN,NaN,NaN,USID,HUC17,N/A
Hyndman,43.7100,-114.1600,2322.6,0.0,NaN,0.0,USID,HUC17,N/A
Island Park,44.4200,-111.3900,1917.2,0.0,NaN,0.0,USID,HUC17,N/A
Jackson Peak,44.0500,-115.4400,2154.9,NaN,NaN,NaN,USID,HUC17,N/A
Lolo Pass,46.6300,-114.5800,1597.2,NaN,NaN,NaN,USID,HUC17,N/A
Long Valley,44.7900,-116.0900,1490.5,NaN,NaN,NaN,USID,HUC17,N/A
Lookout,47.4600,-115.7000,1581.9,0.0,NaN,0.0,USID,HUC17,N/A
Lost Lake,47.0800,-115.9600,1862.3,0.0,NaN,0.0,USID,HUC17,N/A
Lost-Wood Divide,43.8200,-114.2600,2407.9,NaN,NaN,NaN,USID,HUC17,N/A
Magic Mountain,42.1800,-114.2900,2097.0,0.0,NaN,0.0,USID,HUC17,N/A
Meadow Lake,44.4400,-113.3200,2788.9,NaN,NaN,NaN,USID,HUC17,N/A
Mica Creek,47.1500,-116.2700,1374.6,0.0,NaN,0.0,USID,HUC17,N/A
Mill Creek Summit,44.4700,-114.4900,2682.2,0.0,NaN,0.0,USID,HUC17,N/A
Moonshine,44.4100,-113.4000,2267.7,NaN,NaN,NaN,USID,HUC17,N/A
Moose Creek,45.6700,-113.9500,1889.8,0.0,NaN,0.0,USID,HUC17,N/A
Mores Creek Summit,43.9300,-115.6700,1859.3,NaN,NaN,NaN,USID,HUC17,N/A
Morgan Creek,44.8400,-114.2700,2316.5,NaN,NaN,NaN,USID,HUC17,N/A
Moscow Mountain,46.8100,-116.8500,1432.6,0.0,NaN,0.0,USID,HUC17,N/A
Mosquito Ridge,48.0600,-116.2300,1603.2,0.0,NaN,0.0,USID,HUC17,N/A
Mountain Meadows,45.7000,-115.2300,1926.3,NaN,NaN,NaN,USID,HUC17,N/A
Mud Flat,42.6000,-116.5600,1746.5,NaN,NaN,NaN,USID,HUC17,N/A
Myrtle Creek,48.7200,-116.4600,1072.9,0.0,NaN,NaN,USID,HUC17,N/A
Oxford Spring,42.2600,-112.1300,2054.4,NaN,NaN,NaN,USID,HUC16,N/A
Pierce R.S.,46.5000,-115.8000,938.8,NaN,NaN,NaN,USID,HUC17,N/A
Pine Creek Pass,43.5700,-111.2100,2048.3,NaN,NaN,NaN,USID,HUC17,N/A
Prairie,43.5100,-115.5700,1463.0,0.0,NaN,0.0,USID,HUC17,N/A
Ragged Mountain,47.8600,-117.0400,1283.2,NaN,NaN,NaN,USID,HUC17,N/A
Reynolds Creek,43.2900,-116.8400,1706.9,NaN,NaN,NaN,USID,HUC17,N/A
Savage Pass,46.4700,-114.6300,1886.7,NaN,NaN,NaN,USID,HUC17,N/A
Schwartz Lake,44.8500,-113.8400,2630.4,0.0,NaN,0.0,USID,HUC17,N/A
Schweitzer Basin,48.3700,-116.6400,1856.2,NaN,NaN,NaN,USID,HUC17,N/A
Secesh Summit,45.1900,-115.9700,1993.4,NaN,NaN,NaN,USID,HUC17,N/A
Sedgwick Peak,42.5200,-111.9600,2392.7,NaN,NaN,NaN,USID,HUC17,N/A
